task_id,layer,agent,bid_tokens_in,bid_tokens_out,bid_minutes,confidence,basis,actual_tokens_in_est,actual_tokens_out_est,actual_minutes,token_method,tool_calls,retries,accuracy_measure,accuracy_result,reuse_flags,notes
T1_recon,0-intake,dpo+skills,30000,2000,10,med,retro-bid: uc-pps-018 recon shape,38000,2000,14,chars/4+context-recon,9,1,ledger-drift caught vs repo,PASS (drift found: skill ledger said #12; repo showed #20),skill:pitcher-scouting-report;skill:phillies-data-analyst;memory:uc-ledger-drift,retry = mount request for MLB repo (not pre-mounted); interruption excluded from minutes
T2_intake_profile,1-intake,use-case-validator+source-system-profiler,5000,1500,5,med,retro-bid: 02 shape from uc-pps-018,6000,1500,6,chars/4+context-recon,4,0,fitness verdict vs build nulls,PASS (all fitness calls confirmed by DQ receipts),data:schwarber.parquet pre-existing (no pull needed),bat-tracking field discovery added measurables tier at zero extra cost
T3_design_specs,2-design,kpi-calculator+business-glossary,1000,2500,4,high,SC-1/SC-2 are FanGraphs-standard formulas,1000,2500,4,chars/4,0,0,spec completeness (formula+grain+population+edges),PASS,kernel:dp_uc18 inherited verbatim (zero design cost for 8/10 KPIs),wRC constants verified present before bidding
T4_build,3-build,data-engineer,10000,3000,8,high,dp_uc18 script as template,9000,3200,7,chars/4,4,1,build exit 0 + receipt count,PASS (17 CSV + 3 PNG + buildlog; 0 dupe keys),script:dp_uc18 template (~70% verbatim reuse),retry = fig3 label fix; pyarrow install one-time env cost
T5_report,4-publish,dpo-narrative,2000,3500,8,med,uc-pos-marsh report shape,2000,3400,9,chars/4,1,0,every claim receipt-traceable,PASS (audited in 06),template:marsh-report house voice,
T6_verification,4-certify,verification(non-kernel recompute),1500,1600,4,high,dp_uc19_verification.py precedent,1000,1600,4,chars/4,2,0,independent recompute of headline claims,18/18 PASS,pattern:dp_uc19 verification harness,deliberately avoids get_stats kernel so agreement is evidence
T7_pdf,4-publish,analytics-enabler,500,600,3,high,skill §5 weasyprint pattern,500,600,4,chars/4,3,1,pdf renders,PASS,css:phillies brand from prior UCs,retry = weasyprint install (env cold start)
T8_contract_spine,4-certify,certification-agent+trail,2000,5500,10,med,uc-pps-018 00-07 shape,3000,5500,11,chars/4,9,0,artifact completeness checklist (06),PASS (12/12 artifacts present),trail:duran 00-07 structure mirrored,single Read of duran 00 bought structure for 8 files
T9_token_economist,next-step,token-economist(pilot),1000,3500,8,low,cold estimate — first instance,500,3500,8,chars/4,1,0,agent def has output contract + boundaries,PASS (def + this ledger delivered),principles:cost-watchdog def as style template,this row prices its own creation — recursion noted and accepted
T10_close,close,dpo,1000,2000,5,med,retro-bid,1000,2000,5,chars/4,4,0,ledger row appended + memory updated,PASS,,includes repo-side ledger reconciliation rows 13-21
TOTAL,,,54000,25700,65,,,62000,25800,72,chars/4+context-recon,37,3,verification+DQ+completeness,18/18 + DQ PASS + 12/12,,
