rule,description,pass,evidence,status
DQ-1,entity lock: 650911 -> one player_name,True,"['Sánchez, Cristopher']",PASS
DQ-2,no duplicate pitch keys after dedup,True,dropped 0,PASS
DQ-3,regular season only,True,['R'],PASS
DQ-4,anchor = 2026-09-15,True,2026-09-15,PASS
DQ-5,subject location completeness >= 99.9%,True,0.99991,PASS
DQ-6,subject zone attribute completeness >= 99.9%,True,0.99991,PASS
DQ-7,every 2026 appearance is a start,True,31/31,PASS
DQ-8,plate_x sign: RHB HBP < 0 < LHB HBP,True,-2.01/1.98,PASS
DQ-9,SZ regions partition located pitches exactly,True,sum check,PASS
DQ-10,edge_rate_twin == governed edge_rate,True,<=0.0005,PASS
DQ-11,"2026 rails constant per batter, SD < 0.01 ft (O-18)",True,1.000,PASS
DQ-12,geometric vs Statcast zone disagreement < 6%,True,0.0401,PASS
DQ-13,PN-1 cohort >= 10 arms (2025->2026),True,11 (min across bases),PASS
DQ-14,ZC-1 subject coverage >= 60% (2025),True,0.780,PASS
DQ-15,"2021-22 sample flagged (swingman, <1000 pitches)",True,873,PASS
DQ-16,no rate published on a zero denominator,True,season grain,PASS
DQ-17,"arm_angle completeness (2026, subject)",False,0.777 — not used,WARN
