check,recomputed,receipt,delta,result,severity,note
A1 entity_lock_single_pitcher,1,1,0.0,PASS,blocking,
A2 brad_keller_absent,0,0,0.0,PASS,blocking,name-filter would add 28 rows
A3 single_player_name,1,1,0.0,PASS,blocking,
A4 no_duplicate_pitches,0,0,0.0,PASS,blocking,
A5 regular_season_only,0,0,0.0,PASS,blocking,
B1 pitches,533,533,0.0,PASS,blocking,
B2 plate_appearances,146,146,0.0,PASS,blocking,
B3 balls_in_play,96,96,0.0,PASS,blocking,
B4 games,8,8,0.0,PASS,blocking,
B5 baseline_pitches,14427,14427,0.0,PASS,blocking,
B6 baseline_PA,3702,3702,0.0,PASS,blocking,
C1 hits,26,26,0.0,PASS,blocking,
C2 home_runs,5,5,0.0,PASS,blocking,
C3 walks,11,11,0.0,PASS,blocking,
C4 strikeouts,38,38,0.0,PASS,blocking,
C5 batting_average,0.194,0.194,0.0,PASS,blocking,
C6 obp,0.26,0.26,0.0,PASS,blocking,
C7 slg,0.343,0.343,0.0,PASS,blocking,
C8 k_rate,0.26,0.26,0.0,PASS,blocking,
C9 bb_rate,0.075,0.075,0.0,PASS,blocking,
C10 woba_from_raw_weights,0.268,0.268,0.0,PASS,blocking,"recomputed from FanGraphs 2026 constants, not from joined columns"
C11 xwobacon_bip_only,0.348,0.348,0.0,PASS,blocking,UC#26 grain fix: mean over type=='X' only
C12 xwobacon_not_pitch_level,1,1,0.0,PASS,blocking,asserts the pitch-level mean DIFFERS from published xwOBAcon — the fix is live
D1 whiff_rate,0.254,0.254,0.0,PASS,blocking,
D2 swstr_rate,0.128,0.128,0.0,PASS,blocking,
D3 chase_rate,0.311,0.311,0.0,PASS,blocking,
D4 in_zone_rate,0.505,0.505,0.0,PASS,blocking,
D5 first_pitch_strike_rate,0.632,0.632,0.0,PASS,blocking,
D6 putaway_rate,0.242,0.242,0.0,PASS,blocking,
D7 hard_hit_rate,0.385,0.385,0.0,PASS,blocking,
D8 gb_rate,0.427,0.427,0.0,PASS,blocking,
D9 baseline_whiff_rate,0.264,0.264,0.0,PASS,blocking,
D10 baseline_hard_hit,0.379,0.379,0.0,PASS,blocking,
D11 baseline_xwobacon,0.358,0.358,0.0,PASS,blocking,
E1 stand_PA_sums_to_total,146,146,0.0,PASS,blocking,
E2 start_BF_sums_to_total,146,146,0.0,PASS,blocking,
E3 start_count,8,8,0.0,PASS,blocking,
E4 arsenal_pitches_sums_to_total,533,533,0.0,PASS,blocking,
E5 arsenal_bip_sums_to_total,96,96,0.0,PASS,blocking,
E6 tto_PA_sums_to_total,146,146,0.0,PASS,blocking,
E7 recency_PA_sums_to_total,146,146,0.0,PASS,blocking,
E8 recency_pitches_sums_to_total,533,533,0.0,PASS,blocking,
E9 HR_receipt_count,5,5,0.0,PASS,blocking,
E10 innings_reconcile,36.7,36.7,0.0,PASS,blocking,per-start IP vs season IP
E11 outs_recorded,110,110,0.0,PASS,blocking,
E12 ip_baseball_notation,True,True,0.0,PASS,blocking,ip_baseball must equal outs//3 . outs%3 — guards the 36.2-vs-36.7 confusion
E13 ip_decimal_vs_baseball_consistent,1,1,0.0,PASS,blocking,the two representations must describe the same quantity
F1 early_bb_rate,0.121,0.121,0.0,PASS,blocking,
F2 late_bb_rate,0.038,0.038,0.0,PASS,blocking,
F3_early_hard_hit,0.5,0.5,0.0,PASS,blocking,
F4_early_xwobacon,0.431,0.431,0.0,PASS,blocking,
F5_early_chase,0.236,0.236,0.0,PASS,blocking,
F3_late_hard_hit,0.296,0.296,0.0,PASS,blocking,
F4_late_xwobacon,0.283,0.283,0.0,PASS,blocking,
F5_late_chase,0.376,0.376,0.0,PASS,blocking,
F6_early_4seam_usage,0.514,0.514,0.0,PASS,blocking,
F7_early_sinker_usage,0.117,0.117,0.0,PASS,blocking,
F6_late_4seam_usage,0.355,0.355,0.0,PASS,blocking,
F7_late_sinker_usage,0.243,0.243,0.0,PASS,blocking,
F8 mechanism_direction_4seam,1,1,0.0,PASS,blocking,four-seam usage must fall early->late for the report's claim to hold
F9 mechanism_direction_sinker,1,1,0.0,PASS,blocking,sinker usage must rise early->late
G1 all_HR_vs_LHB,1,1,0.0,PASS,blocking,report claims all 5 HR came against left-handed hitters
G2 LHB_PA,85,85,0.0,PASS,blocking,
G3 RHB_PA,61,61,0.0,PASS,blocking,
G4_L_gb_rate,0.344,0.344,0.0,PASS,blocking,
G5_L_whiff,0.22,0.22,0.0,PASS,blocking,
G4_R_gb_rate,0.571,0.571,0.0,PASS,blocking,
G5_R_whiff,0.303,0.303,0.0,PASS,blocking,
H1 2K_L_4-Seam_n,49,49,0.0,PASS,warning,
H1 2K_L_Curveb_n,1,1,0.0,PASS,warning,
H1 2K_L_Cutter_n,13,13,0.0,PASS,warning,
H1 2K_L_Sinker_n,9,9,0.0,PASS,warning,
H1 2K_L_Slider_n,13,13,0.0,PASS,warning,
H1 2K_R_4-Seam_n,44,44,0.0,PASS,warning,
H1 2K_R_Curveb_n,1,1,0.0,PASS,warning,
H1 2K_R_Cutter_n,2,2,0.0,PASS,warning,
H1 2K_R_Sinker_n,4,4,0.0,PASS,warning,
H1 2K_R_Slider_n,21,21,0.0,PASS,warning,
H2 2K_LHB_4seam_share,0.576,0.576,0.0,PASS,blocking,report's central game-calling claim
