task_id,layer,agent,bid_tokens_in,bid_tokens_out,bid_minutes,confidence,basis,actual_tokens_in_est,actual_tokens_out_est,actual_minutes,token_method,tool_calls,retries,accuracy_measure,accuracy_result,reuse_flags,notes
T1_recon_intake_profile,0-1-intake,dpo+skills+use-case-validator+source-system-profiler+domain-steward-proxy,55000,5000,20,high,uc-pps-026 T1 actuals (72k in) scaled down: 3 prior products read but no news carry-in searches and no fresh data pull needed,61000,3200,14,chars/4+context-recon,9,0,prior-art coverage vs the 3 named products; CDE fitness confirmed,PASS (uc-pos-012 + uc-cat-001 + uc-pps-021 all mined; catcher CDE 0.000% null confirmed from uc-cat-001 01b; uc-cat-001 discovered to be an unshipped open thread),skill:pitcher-scouting-report;skill:phillies-data-analyst;prior-art:3 products;exemplar:dp_uc25 KPI block + dp_uc35 kernel,"folder grant already present; data-plane absence discovered here, not at build time — this is what R-1 pre-flight would formalise"
T2_design_specs,2-design,data-architect+kpi-calculator+glossary+technical-lineage-builder+dq-rule-definer,12000,14000,20,high,kilian/cortes 02-03 shape + 9 genuinely new KPIs (higher out than a pure-inheritance UC),5000,11800,17,chars/4,3,0,Rule-1 grep evidence; every new KPI has spec+glossary+lineage before any build code,PASS (grep found uc-cat-001 KPI-1/KPI-3 as prior art -> inherited verbatim as BAT-4/BAT-9 rather than reinvented; BAT-5/6/7 confirmed to have no repo precedent),inherit:uc-cat-001 KPI-1/KPI-3 definitions;inherit:PITCH_GROUP dict;rule:repo-search-before-declaring-kpi-new,02 written before any build code ran; 10 full kpi-calculator specs incl. nulls + edge cases
T3_build,3-build,data-engineer+data-quality-engineer,18000,20000,30,high,dp_uc25 KPI block ~100% verbatim + dp_uc35 kernel shape ~70%,6000,15400,22,chars/4,5,1,compile clean + unit tests on hand-computed fixtures,BLOCKED for execution / PASS for logic (compile OK first pass; 18/18 Tier A unit tests PASS; 1 patch = entropy -0.0 cosmetic fix caught by the smoke test),kernel:dp_uc25 locked KPI functions verbatim;dict:dp_uc18 PITCH_GROUP;floor:uc-cat-001 A-4 >=3 games,DATA PLANE NOT MOUNTED -- script written and unit-tested but unexecuted. Build hard-exits(2) rather than emitting partial receipts
T4_report_pdf,4-publish,dpo-narrative+analytics-enabler,8000,14000,20,med,dp_uc25 report shape + skill report-template,3000,9100,13,chars/4,1,0,zero uncomputed numbers published,PASS (every numeric slot is an explicit FILL token; carry-in figures from uc-pps-021 labelled with source product and data window),template:skill report-template.md;voice:dp_uc25 report,PDF NOT rendered -- deliberate: rendering an unfilled harness to PDF invites circulation. Render after the fill
T5_verification,4-certify,verification(independent recompute),8000,9000,15,high,dp_uc29/dp_uc30 harness precedent,3000,6900,11,chars/4,2,0,Tier A fixture tests; Tier B DPO-skeleton recompute,18/18 Tier A PASS · Tier B written and UNRUN,method:DPO merge skeleton as independent path;NEW:fixture-based Tier A,"Tier A is a repo first -- it certifies KPI logic without the data plane, which is the only reason this delivery has any verification at all"
T6_spine_close,4-certify+close,certification+version-controller+observability+semantic-modeler+privacy+cost+dpo,14000,20000,30,med,cortes 00-07 shape + telemetry schema verbatim,6000,17600,24,chars/4,6,0,artifact completeness (05 checklist); KPI traceability audit,"PASS on traceability (21/21 KPIs have spec+glossary+lineage+function+receipt, 0 orphans) · NOT READY on certification (correct verdict -- AC-1 unmet)",trail:cortes 00-07 mirrored;telemetry:uc-pps-019 schema verbatim,"certification-agent returning NOT READY is the governance system working, not failing"
CONTINGENCY,env,-,14000,10000,15,-,12% environmental tax,2000,300,4,chars/4,-,1,-,1 environmental retry (pandas install in sandbox),-,"under-consumed on installs; OVER-consumed conceptually on the mount failure, which no bid line had priced"
SUBTOTAL_RUN1,,,129000,92000,150,,,86000,64300,105,chars/4+context-recon,26,2,traceability + Tier A verification + completeness,"21/21 traceability PASS · 18/18 Tier A PASS · certification NOT READY (AC-1) · DQ 15 rules specced, 3 verified on fixtures, 12 UNRUN",,"RUN 1 (2026-08-25, scheduled, non-interactive). bid-vs-actual: input -33% / output -30% / time -30% under bid -- but scope INCOMPLETE (T3 execution + T4 fill did not happen). Estimated cost to complete: ~8k in / ~10k out / ~20 min. SEE RUN 2: that estimate was wrong by an order of magnitude, and the reason is the finding of the engagement."
T7_reopen_recon,0-1-intake,dpo+memory+source-system-profiler,3000,500,5,low,run-1 estimate to complete assumed 'fill the harness'; no line was bid for re-reading the delivered package,52000,3000,18,chars/4+context-recon,11,0,package state understood before any edit,"PASS (run-1 package read end-to-end: bid, contract, 00-07 spine, build script, report harness; game date error caught: 08-25 -> 08-26)",prior-art:run-1 package;memory:project MEMORY.md index,UNBID LINE. Resuming a delivered-unfilled package costs a full re-read. Every partial delivery carries this tax on its successor.
T8_build_execute,3-build,data-engineer+data-quality-engineer,8000,10000,20,high,run-1 estimate to complete (the only forward-looking line it wrote),18000,4500,14,chars/4+context-recon,8,1,0 DQ FAIL; entity lock; receipts written,"PASS (23 receipts, 0 FAIL/0 WARN after the O-12 fix; 1 retry = spurious DQ FAIL on Marchan accent folding, fixed and re-run)",script:dp_uc38 unmodified except the O-12 fix;grant:MLB folder access requested and granted,The run-1 estimate for this line was accurate. It is the only line that was.
