family,check,status,detail
A,PHI log is regular season only,PASS,['R']
A,PHI log is pitching-role only,PASS,['pitching']
A,PHI log max date is the anchor,PASS,2026-09-11
A,AAA log max date,PASS,2026-09-06
A,no duplicate pitch keys in pps,PASS,
A,no duplicate pitch keys in lhv,PASS,
A,wOBA weights present on MLB frame,PASS,
A,wOBA weights ABSENT on AAA frame (DQ-5),PASS,
A,"entity lock resolves: Mayza, Tim == 641835",PASS,987 pitches
A,"entity lock resolves: Holman, Grant == 680880",PASS,348 pitches
A,"entity lock resolves: Raley, Brooks == 548384",PASS,152 pitches
A,"entity lock resolves: Shugart, Chase == 663767",PASS,778 pitches
A,"entity lock resolves: Kerkering, Orion == 689147",PASS,1004 pitches
A,"entity lock resolves: Alvarado, José == 621237",PASS,1032 pitches
A,"entity lock resolves: Duran, Jhoan == 661395",PASS,866 pitches
A,"entity lock resolves: McFarlane, Alex == 686934",PASS,210 pitches
A,"entity lock resolves: Bowlan, Jonathan == 680742",PASS,935 pitches
A,Holman has ZERO MLB pitches (supporting tier is the only evidence),PASS,
A,Holman not present in LHV 2025 either,PASS,
A,opposing starter 641816 has exactly 3 looks at PHI in 2026,PASS,
A,no name-based filtering anywhere in the build,PASS,
B,Holman usage L/FS,PASS,83 vs 83
B,Holman usage L/FF,PASS,80 vs 80
B,Holman usage L/SL,PASS,25 vs 25
B,Holman usage R/FF,PASS,72 vs 72
B,Holman usage R/SL,PASS,52 vs 52
B,Holman usage R/FS,PASS,36 vs 36
B,whiff L/FF,PASS,8/52 vs 8/52
B,whiff L/FS,PASS,15/43 vs 15/43
B,whiff L/SL,PASS,8/16 vs 8/16
B,whiff R/FF,PASS,5/37 vs 5/37
B,whiff R/FS,PASS,7/21 vs 7/21
B,whiff R/SL,PASS,10/27 vs 10/27
B,chase L/FF,PASS,11/25
B,chase L/FS,PASS,20/52
B,chase L/SL,PASS,7/13
B,chase R/FF,PASS,6/25
B,chase R/FS,PASS,11/25
B,chase R/SL,PASS,8/27
B,"appearance ledger covers every (pitcher, game)",PASS,632/632
B,pitch counts agree,PASS,
B,batters faced agree,PASS,
B,innings spanned agree,PASS,
B,days_of_rest recomputed for 641835,PASS,
B,days_of_rest recomputed for 548384,PASS,
B,days_of_rest recomputed for 663767,PASS,
B,days_of_rest recomputed for 689147,PASS,
B,days_of_rest recomputed for 621237,PASS,
B,days_of_rest recomputed for 661395,PASS,
B,days_of_rest recomputed for 686934,PASS,
B,days_of_rest recomputed for 680742,PASS,
B,"avg_bf for Mayza, Tim",PASS,4.36 vs 4.36
B,"avg_bf for Holman, Grant",PASS,5.2 vs 5.2
B,"avg_bf for Raley, Brooks",PASS,3.15 vs 3.15
B,"avg_bf for Shugart, Chase",PASS,4.95 vs 4.95
B,"avg_bf for Kerkering, Orion",PASS,4.12 vs 4.12
B,"avg_bf for Alvarado, José",PASS,4.03 vs 4.03
B,"avg_bf for Duran, Jhoan",PASS,3.89 vs 3.89
B,BS-2 capacity = sum over distinct arms,PASS,29.700000000000003 vs 29.7
B,regulation-game count,PASS,106
B,median staff BF = 37,PASS,37.0
B,median staff pitches = 147,PASS,
B,capacity mode client_average,PASS,29.700000000000003 vs 29.7
B,capacity mode client_ceiling,PASS,38.14 vs 38.14
B,capacity mode revised_average,PASS,29.700000000000003 vs 29.7
B,capacity mode revised_ceiling,PASS,37.39 vs 37.39
B,"multi-inning count Mayza, Tim",PASS,16 vs 16
B,"relief app count Mayza, Tim",PASS,50 vs 50
B,"multi-inning count Holman, Grant",PASS,8 vs 8
B,"relief app count Holman, Grant",PASS,20 vs 20
B,"multi-inning count Raley, Brooks",PASS,1 vs 1
B,"relief app count Raley, Brooks",PASS,13 vs 13
B,"multi-inning count Shugart, Chase",PASS,15 vs 15
B,"relief app count Shugart, Chase",PASS,40 vs 40
B,"multi-inning count Kerkering, Orion",PASS,8 vs 8
B,"relief app count Kerkering, Orion",PASS,59 vs 59
B,"multi-inning count Alvarado, José",PASS,1 vs 1
B,"relief app count Alvarado, José",PASS,61 vs 61
B,"multi-inning count Duran, Jhoan",PASS,1 vs 1
B,"relief app count Duran, Jhoan",PASS,56 vs 56
B,"multi-inning count McFarlane, Alex",PASS,1 vs 1
B,"relief app count McFarlane, Alex",PASS,14 vs 14
B,"multi-inning count Bowlan, Jonathan",PASS,6 vs 6
B,"relief app count Bowlan, Jonathan",PASS,57 vs 57
C,sensitivity table matches both ledgers,PASS,
C,five tiers move between framings,PASS,5
C,Alvarado is AMBER under both,PASS,
C,anchor game used 5 relievers + 1 starter,PASS,
C,Alvarado pitched the anchor game and was NOT client-named,PASS,
C,all four client-named arms appear in the anchor game,PASS,4
C,nine-man order resolved,PASS,
C,three of the first four bat L vs LHP,PASS,
C,exactly one switch hitter flagged in the order,PASS,
