persona,hyp_id,hypothesis,signature,before_2025,after_2026,direction,threshold,p_value,unit,verdict
Front Office,FO-1,"Bought the carry, not the ERA: acquired a four-seam whose shape and whiff were already plus while his run prevention looked ordinary",2025 four-seam IVB grade (uc-pps-032),,60.0,1,60.0,,grade,PRESENT
Front Office,FO-1,"Bought the carry, not the ERA: acquired a four-seam whose shape and whiff were already plus while his run prevention looked ordinary",2025 four-seam whiff grade (uc-pps-032),,80.0,1,60.0,,grade,PRESENT
Front Office,FO-1,"Bought the carry, not the ERA: acquired a four-seam whose shape and whiff were already plus while his run prevention looked ordinary",2025 wOBA against was NOT plus (≥ .300 = ordinary),,1.0,1,1.0,,flag,PRESENT
Pitching Coach,PC-1,"Added velocity to the whole arsenal (strength, mechanics, intent)",Four-seam velo,95.529,97.039,1,0.5,9.764757609100918e-55,mph,PRESENT
Pitching Coach,PC-1,"Added velocity to the whole arsenal (strength, mechanics, intent)",Sinker velo,96.133,97.142,1,0.5,,mph,PRESENT
Pitching Coach,PC-1,"Added velocity to the whole arsenal (strength, mechanics, intent)",Slider velo,85.83,86.807,1,0.5,,mph,PRESENT
Pitching Coach,PC-1,"Added velocity to the whole arsenal (strength, mechanics, intent)",Changeup velo,88.352,90.475,1,0.5,,mph,PRESENT
Pitching Coach,PC-1,"Added velocity to the whole arsenal (strength, mechanics, intent)","Four-seam velo on pitches 1–10 of an outing (arm, not role)",95.232,96.728,1,0.5,,mph,PRESENT
Manager,MG-1,"Gave him one job: one inning, late, mostly clean",Pitches per appearance,21.382,16.39,-1,3.0,,pitches,PRESENT
Manager,MG-1,"Gave him one job: one inning, late, mostly clean",Multi-inning share,0.471,0.102,-1,0.15,,share,PRESENT
Manager,MG-1,"Gave him one job: one inning, late, mostly clean",Entered in the 7th or later,0.588,0.78,1,0.15,,share,PRESENT
Manager,MG-1,"Gave him one job: one inning, late, mostly clean",Entered at the start of an inning,0.647,0.78,1,0.1,,share,PRESENT
Pitching Analyst,AN-1,"Built the arsenal by platoon: four-seam + changeup to lefties, a sweeper for righties, curveball shelved",Four-seam + changeup share vs LHB,0.582,0.816,1,0.1,,share,PRESENT
Pitching Analyst,AN-1,"Built the arsenal by platoon: four-seam + changeup to lefties, a sweeper for righties, curveball shelved",Sweeper share vs RHB,0.0,0.163,1,0.1,,share,PRESENT
Pitching Analyst,AN-1,"Built the arsenal by platoon: four-seam + changeup to lefties, a sweeper for righties, curveball shelved",Curveball share (all),0.096,0.008,-1,0.05,,share,PRESENT
Pitching Analyst,AN-1,"Built the arsenal by platoon: four-seam + changeup to lefties, a sweeper for righties, curveball shelved",Changeup whiff per swing,0.143,0.299,1,0.05,,rate,PRESENT
Catcher,CA-1,Called the four-seam when it mattered: two strikes and behind in the count,"Four-seam share, 2-strike counts",0.35267857142857145,0.5245398773006135,1,0.1,6.977394344676036e-05,share,PRESENT
Catcher,CA-1,Called the four-seam when it mattered: two strikes and behind in the count,"Four-seam share, behind in the count",0.33112582781456956,0.515625,1,0.1,0.0006215048703754888,share,PRESENT
Catcher,CA-1,Called the four-seam when it mattered: two strikes and behind in the count,K rate,0.254,0.315,1,0.03,0.1778986579987487,rate,WEAK
Catcher,CA-2,Cut walks by getting ahead early,First-pitch strike rate,0.6703296703296703,0.6025641025641025,1,0.03,0.1550488900170206,rate,CONTRA
Catcher,CA-2,Cut walks by getting ahead early,BB rate,0.094,0.065,-1,0.02,0.2696625231747314,rate,WEAK
Pitcher,PI-1,Got hitters to expand: more chase without living in the zone more,Chase rate,0.314,0.352,1,0.03,0.2316735148208049,rate,WEAK
Pitcher,PI-1,Got hitters to expand: more chase without living in the zone more,Four-seam xwOBA on contact (lower = weaker contact),0.446,0.321,-1,0.05,,xwOBAcon,PRESENT
Pitching Coach,WA-1,WATCH for 2027: the sinker stopped working,Sinker whiff per swing,0.176,0.055,-1,0.05,,rate,PRESENT
Pitching Coach,WA-1,WATCH for 2027: the sinker stopped working,Sinker xwOBA on contact (higher = harder contact),0.187,0.393,1,0.05,,xwOBAcon,PRESENT
Pitching Analyst,WA-2,WATCH for 2027: the new sweeper has not earned its keep yet,Sweeper run value per 100 below zero (2026: -6.1 on 77 pitches),,1.0,1,1.0,,flag,PRESENT
Manager,MG-2,Workload preceded the 9/17 exit (velocity tell in the final outings),"Four-seam velo, last 5 appearances vs season",97.039,96.919,-1,0.5,,mph,ABSENT
