id,check,result,got,expected
V-01,single batter id in locked frame,PASS,[np.int64(656941)],[656941]
V-02,no duplicate pitch keys,PASS,0,0
V-03,regular season only,PASS,['R'],['R']
V-04,career pitch count matches report,PASS,24891,24891
V-05,as-of date is 2026-08-07,PASS,2026-08-07,2026-08-07
V-06,2026 BIP recomputed,PASS,242,242
V-07,2026 barrel rate recomputed,PASS,0.169,0.1694
V-08,2026 mean EV recomputed,PASS,93.247,93.247
V-09,2026 EV90 recomputed,PASS,108.9,108.9
V-10,2026 bat speed recomputed on MEASURED swings only,PASS,74.246,74.246
V-11,2025 bat speed recomputed,PASS,74.211,74.211
V-12,2026 sweet-spot rate recomputed,PASS,0.421,0.4215
V-13,2026 hard-hit rate recomputed,PASS,0.521,0.5207
V-14,2026 HR count recomputed,PASS,33,33
V-15,2025 HR count recomputed,PASS,56,56
V-16,no bat_speed_mu published pre-2024,PASS,0,0
V-17,no attack_angle_mu published pre-2025,PASS,0,0
V-18,no fast_swing_rate published pre-2024,PASS,0,0
V-19,source itself has zero pre-2024 bat_speed,PASS,0,0
V-20,2023 bat_speed coverage is exactly zero (report corrects the DPO note),PASS,0,0
V-21,imputation-harm receipt: 9 zero-coverage seasons,PASS,9,9
V-22,"imputation would fabricate 7,021 swings",PASS,7021,7021
V-23,fabricated share is 67.7% of career swings,PASS,0.677,0.677
V-24,coverage register marks exactly 2024/2025/2026 as measured,PASS,"[2024, 2025, 2026]","[2024, 2025, 2026]"
V-25,phase split balances BIP within 5,PASS,120/122,<=5 apart
V-26,phase BIP sum equals 2026 BIP,PASS,242,242
V-27,phase A barrel rate,PASS,0.242,0.2417
V-28,phase B barrel rate,PASS,0.098,0.0984
V-29,barrel collapse is ~-59.5%,PASS,-59.5,-59.5
V-30,bat speed is flat across phases (<0.1 mph),PASS,0.0059,<0.1
V-31,receipt agrees with independent bat-speed phase means,PASS,74.249/74.243,74.249/74.243
V-32,damage-band share phase A = 21.7%,PASS,0.217,0.2167
V-33,damage-band share phase B = 14.9%,PASS,0.149,0.1475
V-34,damage band lost >6 points of share,PASS,0.0691,>0.06
V-35,sweet-spot rate ROSE while barrel rate fell (the SW-1 blind spot),PASS,"SS 0.408->0.434, BRL 0.242->0.098","SS up, BRL down"
V-36,hard-hit rate also ROSE while barrel rate fell,PASS,0.508->0.533,up
V-37,bat speed 74.2 in both 2025 and 2026,PASS,,
V-38,2026 chase rate 25.5%,PASS,,
V-39,2025 chase rate 21.5%,PASS,,
V-40,2026 K rate 34.8% is a career high excluding the 5-PA 2016,PASS,,
V-41,2026 chase rate is the highest since 2020,PASS,,
V-42,2026 SLG .518 and ISO .276,PASS,,
V-43,2025 SLG .561 / ISO .322 / 56 HR,PASS,,
V-44,2026 SLG exceeds both 2023 and 2024,PASS,,
V-45,phase A barrel rate (24.2%) exceeded full-season 2025 (20.8%),PASS,,
V-46,phase B contact depth ~= 2025 season mean (the honest caveat),PASS,,
V-47,"phase A contact depth is the outlier, not phase B",PASS,,
V-48,squared-up rate is Schwarber's worst rank in the LHB pool,PASS,,
V-49,LHB pool has 5 measured players (caveat is accurate),PASS,,
V-50,August 2026 is 11 balls in play (small-sample flag is accurate),PASS,,
V-Fdp_uc32_fig1_rolli,figure exists: dp_uc32_fig1_rolling_damage.png,PASS,True,True
V-Fdp_uc32_fig2_speed,figure exists: dp_uc32_fig2_speed_vs_output.png,PASS,True,True
V-Fdp_uc32_fig3_la_di,figure exists: dp_uc32_fig3_la_distribution.png,PASS,True,True
V-Fdp_uc32_fig5_swing,figure exists: dp_uc32_fig5_swing_path.png,PASS,True,True
V-Fdp_uc32_fig4_imput,figure exists: dp_uc32_fig4_imputation_harm.png,PASS,True,True
V-51,every receipt cited in the report exists,PASS,none,none
V-52,no pre-2024 bat-speed value appears in the report prose,PASS,none,none
V-53,build DQ scorecard has zero FAIL,PASS,0,0
V-54,at least 24 receipts on disk,PASS,25,>=24
